suite,benchmark,dtype,threads,shape,backend,median_ms,iqr_ms,status
small,matmul,f64,1,2x2,tenferro-eager,0.005583,0.002791,ok
small,einsum_ij_jk_ik,f64,1,2x2,tenferro-eager,0.045541,0.008583,ok
small,svd,f64,1,2x2,tenferro-eager,0.004375,0.000500,ok
small,qr,f64,1,2x2,tenferro-eager,0.003792,0.000292,ok
small,eigh,f64,1,2x2,tenferro-eager,0.003708,0.000500,ok
small,solve,f64,1,"2x2,rhs=1",tenferro-eager,0.004042,0.000750,ok
small,solve,f64,1,"2x2,rhs=4",tenferro-eager,0.004166,0.000084,ok
small,grad_sum_matmul_backward,f64,1,2x2,tenferro-eager,0.031500,0.001875,ok
small,grad_sum_svd_s_backward,f64,1,2x2,tenferro-eager,0.080042,0.006375,ok
small,grad_sum_solve_backward,f64,1,"2x2,rhs=1",tenferro-eager,0.054375,0.000542,ok
small,matmul,f64,1,4x4,tenferro-eager,0.003708,0.000125,ok
small,einsum_ij_jk_ik,f64,1,4x4,tenferro-eager,0.027541,0.000791,ok
small,svd,f64,1,4x4,tenferro-eager,0.006125,0.000292,ok
small,qr,f64,1,4x4,tenferro-eager,0.003667,0.000042,ok
small,eigh,f64,1,4x4,tenferro-eager,0.004834,0.000292,ok
small,solve,f64,1,"4x4,rhs=1",tenferro-eager,0.004250,0.000208,ok
small,solve,f64,1,"4x4,rhs=4",tenferro-eager,0.004042,0.000126,ok
small,grad_sum_matmul_backward,f64,1,4x4,tenferro-eager,0.037250,0.018542,ok
small,grad_sum_svd_s_backward,f64,1,4x4,tenferro-eager,0.045375,0.005667,ok
small,grad_sum_solve_backward,f64,1,"4x4,rhs=1",tenferro-eager,0.046250,0.007834,ok
small,matmul,f64,1,8x8,tenferro-eager,0.003250,0.000041,ok
small,einsum_ij_jk_ik,f64,1,8x8,tenferro-eager,0.023125,0.000583,ok
small,svd,f64,1,8x8,tenferro-eager,0.011750,0.001084,ok
small,qr,f64,1,8x8,tenferro-eager,0.004000,0.000167,ok
small,eigh,f64,1,8x8,tenferro-eager,0.008041,0.000125,ok
small,solve,f64,1,"8x8,rhs=1",tenferro-eager,0.004208,0.000042,ok
small,solve,f64,1,"8x8,rhs=4",tenferro-eager,0.004375,0.000292,ok
small,grad_sum_matmul_backward,f64,1,8x8,tenferro-eager,0.041083,0.002709,ok
small,grad_sum_svd_s_backward,f64,1,8x8,tenferro-eager,0.050375,0.024875,ok
small,grad_sum_solve_backward,f64,1,"8x8,rhs=1",tenferro-eager,0.031208,0.000291,ok
large,matmul,f64,1,128x128,tenferro-eager,0.154000,0.001709,ok
large,matmul,f64,1,256x256,tenferro-eager,0.902375,0.153792,ok
large,matmul_rect,f64,1,256x1024 * 1024x256,tenferro-eager,3.123375,0.174292,ok
large,svd,f64,1,64x64,tenferro-eager,0.442917,0.002709,ok
large,qr,f64,1,64x64,tenferro-eager,0.066791,0.001042,ok
large,eigh,f64,1,64x64,tenferro-eager,0.239500,0.029416,ok
large,solve,f64,1,"64x64,rhs=1",tenferro-eager,0.069000,0.001709,ok
large,solve,f64,1,"64x64,rhs=16",tenferro-eager,0.074875,0.002834,ok
large,solve,f64,1,"64x64,rhs=64",tenferro-eager,0.087125,0.003458,ok
large,grad_sum_matmul,f64,1,64x64,tenferro-eager,0.020375,0.000458,ok
large,grad_sum_matmul_backward,f64,1,64x64,tenferro-eager,0.064166,0.001083,ok
large,grad_sum_svd_s_backward,f64,1,64x64,tenferro-eager,0.479667,0.008209,ok
large,grad_sum_solve_backward,f64,1,"64x64,rhs=1",tenferro-eager,0.111417,0.004583,ok
batched,batched_matmul_ikb_kjb_ijb,f64,1,2x2xbatch16 (native batch layout),tenferro-eager,0.002125,0.000125,ok
batched,batched_svd,f64,1,2x2xbatch16 (native batch layout),tenferro-eager,0.013291,0.001083,ok
batched,batched_qr,f64,1,2x2xbatch16 (native batch layout),tenferro-eager,0.008541,0.000333,ok
batched,batched_eigh,f64,1,2x2xbatch16 (native batch layout),tenferro-eager,0.009584,0.000041,ok
batched,batched_solve,f64,1,"2x2xbatch16 (native batch layout),rhs=1",tenferro-eager,0.007917,0.000084,ok
batched,grad_sum_batched_matmul_backward,f64,1,2x2xbatch16 (native batch layout),tenferro-eager,0.027042,0.000334,ok
