suite,op,phase,dtype,backend,profile,shape,warmups,runs,median_ms,iqr_ms,status
small,matmul,primal,f64,system-openblas,quick,2x2,3,7,0.005583,0.002791,ok
small,einsum_ij_jk_ik,primal,f64,system-openblas,quick,2x2,3,7,0.045541,0.008583,ok
small,svd,primal,f64,system-openblas,quick,2x2,3,7,0.004375,0.000500,ok
small,qr,primal,f64,system-openblas,quick,2x2,3,7,0.003792,0.000292,ok
small,eigh,primal,f64,system-openblas,quick,2x2,3,7,0.003708,0.000500,ok
small,solve,primal,f64,system-openblas,quick,"2x2,rhs=1",3,7,0.004042,0.000750,ok
small,solve,primal,f64,system-openblas,quick,"2x2,rhs=4",3,7,0.004166,0.000084,ok
small,grad_sum_matmul,backward,f64,system-openblas,quick,2x2,3,7,0.031500,0.001875,ok
small,grad_sum_svd_s,backward,f64,system-openblas,quick,2x2,3,7,0.080042,0.006375,ok
small,grad_sum_solve,backward,f64,system-openblas,quick,"2x2,rhs=1",3,7,0.054375,0.000542,ok
small,matmul,primal,f64,system-openblas,quick,4x4,3,7,0.003708,0.000125,ok
small,einsum_ij_jk_ik,primal,f64,system-openblas,quick,4x4,3,7,0.027541,0.000791,ok
small,svd,primal,f64,system-openblas,quick,4x4,3,7,0.006125,0.000292,ok
small,qr,primal,f64,system-openblas,quick,4x4,3,7,0.003667,0.000042,ok
small,eigh,primal,f64,system-openblas,quick,4x4,3,7,0.004834,0.000292,ok
small,solve,primal,f64,system-openblas,quick,"4x4,rhs=1",3,7,0.004250,0.000208,ok
small,solve,primal,f64,system-openblas,quick,"4x4,rhs=4",3,7,0.004042,0.000126,ok
small,grad_sum_matmul,backward,f64,system-openblas,quick,4x4,3,7,0.037250,0.018542,ok
small,grad_sum_svd_s,backward,f64,system-openblas,quick,4x4,3,7,0.045375,0.005667,ok
small,grad_sum_solve,backward,f64,system-openblas,quick,"4x4,rhs=1",3,7,0.046250,0.007834,ok
small,matmul,primal,f64,system-openblas,quick,8x8,3,7,0.003250,0.000041,ok
small,einsum_ij_jk_ik,primal,f64,system-openblas,quick,8x8,3,7,0.023125,0.000583,ok
small,svd,primal,f64,system-openblas,quick,8x8,3,7,0.011750,0.001084,ok
small,qr,primal,f64,system-openblas,quick,8x8,3,7,0.004000,0.000167,ok
small,eigh,primal,f64,system-openblas,quick,8x8,3,7,0.008041,0.000125,ok
small,solve,primal,f64,system-openblas,quick,"8x8,rhs=1",3,7,0.004208,0.000042,ok
small,solve,primal,f64,system-openblas,quick,"8x8,rhs=4",3,7,0.004375,0.000292,ok
small,grad_sum_matmul,backward,f64,system-openblas,quick,8x8,3,7,0.041083,0.002709,ok
small,grad_sum_svd_s,backward,f64,system-openblas,quick,8x8,3,7,0.050375,0.024875,ok
small,grad_sum_solve,backward,f64,system-openblas,quick,"8x8,rhs=1",3,7,0.031208,0.000291,ok
large,matmul,primal,f64,system-openblas,quick,128x128,3,7,0.154000,0.001709,ok
large,matmul,primal,f64,system-openblas,quick,256x256,3,7,0.902375,0.153792,ok
large,matmul_rect,primal,f64,system-openblas,quick,256x1024 * 1024x256,3,7,3.123375,0.174292,ok
large,svd,primal,f64,system-openblas,quick,64x64,3,7,0.442917,0.002709,ok
large,qr,primal,f64,system-openblas,quick,64x64,3,7,0.066791,0.001042,ok
large,eigh,primal,f64,system-openblas,quick,64x64,3,7,0.239500,0.029416,ok
large,solve,primal,f64,system-openblas,quick,"64x64,rhs=1",3,7,0.069000,0.001709,ok
large,solve,primal,f64,system-openblas,quick,"64x64,rhs=16",3,7,0.074875,0.002834,ok
large,solve,primal,f64,system-openblas,quick,"64x64,rhs=64",3,7,0.087125,0.003458,ok
large,grad_sum_matmul,primal,f64,system-openblas,quick,64x64,3,7,0.020375,0.000458,ok
large,grad_sum_matmul,backward,f64,system-openblas,quick,64x64,3,7,0.064166,0.001083,ok
large,grad_sum_svd_s,backward,f64,system-openblas,quick,64x64,3,7,0.479667,0.008209,ok
large,grad_sum_solve,backward,f64,system-openblas,quick,"64x64,rhs=1",3,7,0.111417,0.004583,ok
batched,batched_matmul_ikb_kjb_ijb,primal,f64,system-openblas,quick,2x2xbatch16 (native batch layout),3,7,0.002125,0.000125,ok
batched,batched_svd,primal,f64,system-openblas,quick,2x2xbatch16 (native batch layout),3,7,0.013291,0.001083,ok
batched,batched_qr,primal,f64,system-openblas,quick,2x2xbatch16 (native batch layout),3,7,0.008541,0.000333,ok
batched,batched_eigh,primal,f64,system-openblas,quick,2x2xbatch16 (native batch layout),3,7,0.009584,0.000041,ok
batched,batched_solve,primal,f64,system-openblas,quick,"2x2xbatch16 (native batch layout),rhs=1",3,7,0.007917,0.000084,ok
batched,grad_sum_batched_matmul,backward,f64,system-openblas,quick,2x2xbatch16 (native batch layout),3,7,0.027042,0.000334,ok
batched,grad_sum_batched_solve,backward,f64,system-openblas,quick,"2x2xbatch16 (native batch layout),rhs=1",3,7,0.047791,0.006750,ok
batched,batched_matmul_ikb_kjb_ijb,primal,f64,system-openblas,quick,4x4xbatch16 (native batch layout),3,7,0.002167,0.000125,ok
batched,batched_svd,primal,f64,system-openblas,quick,4x4xbatch16 (native batch layout),3,7,0.031791,0.002374,ok
batched,batched_qr,primal,f64,system-openblas,quick,4x4xbatch16 (native batch layout),3,7,0.012167,0.006374,ok
batched,batched_eigh,primal,f64,system-openblas,quick,4x4xbatch16 (native batch layout),3,7,0.020500,0.000124,ok
batched,batched_solve,primal,f64,system-openblas,quick,"4x4xbatch16 (native batch layout),rhs=1",3,7,0.009583,0.000166,ok
batched,grad_sum_batched_matmul,backward,f64,system-openblas,quick,4x4xbatch16 (native batch layout),3,7,0.026041,0.002209,ok
batched,grad_sum_batched_solve,backward,f64,system-openblas,quick,"4x4xbatch16 (native batch layout),rhs=1",3,7,0.042000,0.002125,ok
batched,batched_matmul_ikb_kjb_ijb,primal,f64,system-openblas,quick,2x2xbatch64 (native batch layout),3,7,0.002500,0.000042,ok
batched,batched_svd,primal,f64,system-openblas,quick,2x2xbatch64 (native batch layout),3,7,0.044875,0.002542,ok
batched,batched_qr,primal,f64,system-openblas,quick,2x2xbatch64 (native batch layout),3,7,0.027084,0.002792,ok
batched,batched_eigh,primal,f64,system-openblas,quick,2x2xbatch64 (native batch layout),3,7,0.032916,0.001417,ok
batched,batched_solve,primal,f64,system-openblas,quick,"2x2xbatch64 (native batch layout),rhs=1",3,7,0.024334,0.002667,ok
batched,grad_sum_batched_matmul,backward,f64,system-openblas,quick,2x2xbatch64 (native batch layout),3,7,0.028000,0.000084,ok
batched,grad_sum_batched_solve,backward,f64,system-openblas,quick,"2x2xbatch64 (native batch layout),rhs=1",3,7,0.070917,0.002042,ok
batched,batched_matmul_ikb_kjb_ijb,primal,f64,system-openblas,quick,4x4xbatch64 (native batch layout),3,7,0.003083,0.000084,ok
batched,batched_svd,primal,f64,system-openblas,quick,4x4xbatch64 (native batch layout),3,7,0.115459,0.001250,ok
batched,batched_qr,primal,f64,system-openblas,quick,4x4xbatch64 (native batch layout),3,7,0.036083,0.000125,ok
batched,batched_eigh,primal,f64,system-openblas,quick,4x4xbatch64 (native batch layout),3,7,0.076958,0.001792,ok
batched,batched_solve,primal,f64,system-openblas,quick,"4x4xbatch64 (native batch layout),rhs=1",3,7,0.031709,0.000167,ok
batched,grad_sum_batched_matmul,backward,f64,system-openblas,quick,4x4xbatch64 (native batch layout),3,7,0.029584,0.000333,ok
batched,grad_sum_batched_solve,backward,f64,system-openblas,quick,"4x4xbatch64 (native batch layout),rhs=1",3,7,0.082083,0.000500,ok
small,matmul,primal,f64,tenferro-trace,quick,2x2,3,7,0.000625,0.000083,ok
small,einsum_ij_jk_ik,primal,f64,tenferro-trace,quick,2x2,3,7,0.005333,0.000459,ok
small,svd,primal,f64,tenferro-trace,quick,2x2,3,7,0.001125,0.000041,ok
small,qr,primal,f64,tenferro-trace,quick,2x2,3,7,0.000833,0.000042,ok
small,eigh,primal,f64,tenferro-trace,quick,2x2,3,7,0.000875,0.000041,ok
small,solve,primal,f64,tenferro-trace,quick,"2x2,rhs=1",3,7,0.000875,0.000084,ok
small,solve,primal,f64,tenferro-trace,quick,"2x2,rhs=4",3,7,0.000916,0.000083,ok
small,grad_sum_matmul,backward,f64,tenferro-trace,quick,2x2,3,7,0.003500,0.000082,ok
small,grad_sum_svd_s,backward,f64,tenferro-trace,quick,2x2,3,7,0.007625,0.000125,ok
small,grad_sum_solve,backward,f64,tenferro-trace,quick,"2x2,rhs=1",3,7,0.008791,0.000125,ok
small,matmul,primal,f64,tenferro-trace,quick,4x4,3,7,0.000625,0.000000,ok
small,einsum_ij_jk_ik,primal,f64,tenferro-trace,quick,4x4,3,7,0.005167,0.000083,ok
small,svd,primal,f64,tenferro-trace,quick,4x4,3,7,0.002083,0.000001,ok
small,qr,primal,f64,tenferro-trace,quick,4x4,3,7,0.001000,0.000083,ok
small,eigh,primal,f64,tenferro-trace,quick,4x4,3,7,0.001459,0.000042,ok
small,solve,primal,f64,tenferro-trace,quick,"4x4,rhs=1",3,7,0.000958,0.000083,ok
small,solve,primal,f64,tenferro-trace,quick,"4x4,rhs=4",3,7,0.000916,0.000083,ok
small,grad_sum_matmul,backward,f64,tenferro-trace,quick,4x4,3,7,0.003375,0.000083,ok
small,grad_sum_svd_s,backward,f64,tenferro-trace,quick,4x4,3,7,0.008750,0.000167,ok
small,grad_sum_solve,backward,f64,tenferro-trace,quick,"4x4,rhs=1",3,7,0.009042,0.000333,ok
small,matmul,primal,f64,tenferro-trace,quick,8x8,3,7,0.000667,0.000042,ok
small,einsum_ij_jk_ik,primal,f64,tenferro-trace,quick,8x8,3,7,0.005291,0.001208,ok
small,svd,primal,f64,tenferro-trace,quick,8x8,3,7,0.005625,0.000083,ok
small,qr,primal,f64,tenferro-trace,quick,8x8,3,7,0.001375,0.000000,ok
small,eigh,primal,f64,tenferro-trace,quick,8x8,3,7,0.003375,0.000000,ok
small,solve,primal,f64,tenferro-trace,quick,"8x8,rhs=1",3,7,0.001125,0.000041,ok
small,solve,primal,f64,tenferro-trace,quick,"8x8,rhs=4",3,7,0.001125,0.000042,ok
small,grad_sum_matmul,backward,f64,tenferro-trace,quick,8x8,3,7,0.003584,0.000167,ok
small,grad_sum_svd_s,backward,f64,tenferro-trace,quick,8x8,3,7,0.012625,0.000125,ok
small,grad_sum_solve,backward,f64,tenferro-trace,quick,"8x8,rhs=1",3,7,0.009958,0.001083,ok
large,matmul,primal,f64,tenferro-trace,quick,128x128,3,7,0.084666,0.002833,ok
large,matmul,primal,f64,tenferro-trace,quick,256x256,3,7,0.618250,0.019834,ok
large,matmul_rect,primal,f64,tenferro-trace,quick,256x1024 * 1024x256,3,7,2.577042,0.020583,ok
large,svd,primal,f64,tenferro-trace,quick,64x64,3,7,0.379084,0.004667,ok
large,qr,primal,f64,tenferro-trace,quick,64x64,3,7,0.054125,0.002125,ok
large,eigh,primal,f64,tenferro-trace,quick,64x64,3,7,0.155417,0.002042,ok
large,solve,primal,f64,tenferro-trace,quick,"64x64,rhs=1",3,7,0.013333,0.000333,ok
large,solve,primal,f64,tenferro-trace,quick,"64x64,rhs=16",3,7,0.015208,0.000208,ok
large,solve,primal,f64,tenferro-trace,quick,"64x64,rhs=64",3,7,0.027000,0.000166,ok
large,grad_sum_matmul,primal,f64,tenferro-trace,quick,64x64,3,7,0.017042,0.003667,ok
large,grad_sum_matmul,backward,f64,tenferro-trace,quick,64x64,3,7,0.055792,0.001666,ok
large,grad_sum_svd_s,backward,f64,tenferro-trace,quick,64x64,3,7,0.431500,0.025584,ok
large,grad_sum_solve,backward,f64,tenferro-trace,quick,"64x64,rhs=1",3,7,0.065750,0.001417,ok
batched,batched_matmul_ikb_kjb_ijb,primal,f64,tenferro-trace,quick,2x2xbatch16 (native batch layout),3,7,0.000833,0.000042,ok
batched,batched_svd,primal,f64,tenferro-trace,quick,2x2xbatch16 (native batch layout),3,7,0.010833,0.000209,ok
