suite,op,phase,dtype,backend,profile,shape,warmups,runs,median_ms,iqr_ms,status
small,matmul,primal,f64,cpu-faer,quick,2x2,3,7,0.007875,0.005541,ok
small,einsum_ij_jk_ik,primal,f64,cpu-faer,quick,2x2,3,7,0.036750,0.005041,ok
small,svd,primal,f64,cpu-faer,quick,2x2,3,7,0.003125,0.001667,ok
small,qr,primal,f64,cpu-faer,quick,2x2,3,7,0.002417,0.000043,ok
small,eigh,primal,f64,cpu-faer,quick,2x2,3,7,0.002333,0.000208,ok
small,solve,primal,f64,cpu-faer,quick,"2x2,rhs=1",3,7,0.002750,0.000292,ok
small,solve,primal,f64,cpu-faer,quick,"2x2,rhs=4",3,7,0.002500,0.000083,ok
small,grad_sum_matmul,backward,f64,cpu-faer,quick,2x2,3,7,0.034042,0.003459,ok
small,grad_sum_svd_s,backward,f64,cpu-faer,quick,2x2,3,7,0.076542,0.001167,ok
small,grad_sum_solve,backward,f64,cpu-faer,quick,"2x2,rhs=1",3,7,0.053791,0.001042,ok
small,matmul,primal,f64,cpu-faer,quick,4x4,3,7,0.003666,0.000125,ok
small,einsum_ij_jk_ik,primal,f64,cpu-faer,quick,4x4,3,7,0.028875,0.002791,ok
small,svd,primal,f64,cpu-faer,quick,4x4,3,7,0.006708,0.000250,ok
small,qr,primal,f64,cpu-faer,quick,4x4,3,7,0.004041,0.000250,ok
small,eigh,primal,f64,cpu-faer,quick,4x4,3,7,0.004875,0.000291,ok
small,solve,primal,f64,cpu-faer,quick,"4x4,rhs=1",3,7,0.003833,0.000083,ok
small,solve,primal,f64,cpu-faer,quick,"4x4,rhs=4",3,7,0.003833,0.000042,ok
small,grad_sum_matmul,backward,f64,cpu-faer,quick,4x4,3,7,0.047208,0.001459,ok
small,grad_sum_svd_s,backward,f64,cpu-faer,quick,4x4,3,7,0.068125,0.001459,ok
small,grad_sum_solve,backward,f64,cpu-faer,quick,"4x4,rhs=1",3,7,0.047042,0.000917,ok
small,matmul,primal,f64,cpu-faer,quick,8x8,3,7,0.003125,0.000125,ok
small,einsum_ij_jk_ik,primal,f64,cpu-faer,quick,8x8,3,7,0.024417,0.000709,ok
small,svd,primal,f64,cpu-faer,quick,8x8,3,7,0.012084,0.000500,ok
small,qr,primal,f64,cpu-faer,quick,8x8,3,7,0.004500,0.000208,ok
small,eigh,primal,f64,cpu-faer,quick,8x8,3,7,0.007500,0.000166,ok
small,solve,primal,f64,cpu-faer,quick,"8x8,rhs=1",3,7,0.004042,0.000166,ok
small,solve,primal,f64,cpu-faer,quick,"8x8,rhs=4",3,7,0.004209,0.000167,ok
small,grad_sum_matmul,backward,f64,cpu-faer,quick,8x8,3,7,0.046625,0.000667,ok
small,grad_sum_svd_s,backward,f64,cpu-faer,quick,8x8,3,7,0.081667,0.001000,ok
small,grad_sum_solve,backward,f64,cpu-faer,quick,"8x8,rhs=1",3,7,0.047042,0.000958,ok
large,matmul,primal,f64,cpu-faer,quick,128x128,3,7,0.034416,0.000458,ok
large,matmul,primal,f64,cpu-faer,quick,256x256,3,7,0.192500,0.001792,ok
large,matmul_rect,primal,f64,cpu-faer,quick,256x1024 * 1024x256,3,7,0.656416,0.001667,ok
large,svd,primal,f64,cpu-faer,quick,64x64,3,7,0.775208,0.001583,ok
large,qr,primal,f64,cpu-faer,quick,64x64,3,7,0.104958,0.002209,ok
large,eigh,primal,f64,cpu-faer,quick,64x64,3,7,0.469917,0.003500,ok
large,solve,primal,f64,cpu-faer,quick,"64x64,rhs=1",3,7,0.090500,0.000459,ok
large,solve,primal,f64,cpu-faer,quick,"64x64,rhs=16",3,7,0.089625,0.000416,ok
large,solve,primal,f64,cpu-faer,quick,"64x64,rhs=64",3,7,0.096625,0.008250,ok
large,grad_sum_matmul,primal,f64,cpu-faer,quick,64x64,3,7,0.015542,0.000291,ok
large,grad_sum_matmul,backward,f64,cpu-faer,quick,64x64,3,7,0.053583,0.000292,ok
large,grad_sum_svd_s,backward,f64,cpu-faer,quick,64x64,3,7,0.826917,0.002541,ok
