suite,op,phase,dtype,backend,profile,shape,warmups,runs,median_ms,iqr_ms,status
small,matmul,primal,f64,system-accelerate,full,2x2,3,15,0.015083,0.003084,ok
small,einsum_ij_jk_ik,primal,f64,system-accelerate,full,2x2,3,15,0.013792,0.000666,ok
small,svd,primal,f64,system-accelerate,full,2x2,3,15,0.013208,0.001416,ok
small,qr,primal,f64,system-accelerate,full,2x2,3,15,0.010583,0.000542,ok
small,eigh,primal,f64,system-accelerate,full,2x2,3,15,0.010666,0.002543,ok
small,solve,primal,f64,system-accelerate,full,"2x2,rhs=1",3,15,0.015750,0.002208,ok
small,solve,primal,f64,system-accelerate,full,"2x2,rhs=4",3,15,0.015250,0.000125,ok
small,grad_sum_matmul,backward,f64,system-accelerate,full,2x2,3,15,0.096042,0.008834,ok
small,grad_sum_svd_s,backward,f64,system-accelerate,full,2x2,3,15,0.084750,0.016333,ok
small,grad_sum_solve,backward,f64,system-accelerate,full,"2x2,rhs=1",3,15,0.127334,0.003750,ok
small,matmul,primal,f64,system-accelerate,full,4x4,3,15,0.012417,0.000417,ok
small,einsum_ij_jk_ik,primal,f64,system-accelerate,full,4x4,3,15,0.013417,0.000084,ok
small,svd,primal,f64,system-accelerate,full,4x4,3,15,0.014333,0.000625,ok
small,qr,primal,f64,system-accelerate,full,4x4,3,15,0.010709,0.000457,ok
small,eigh,primal,f64,system-accelerate,full,4x4,3,15,0.011250,0.000333,ok
small,solve,primal,f64,system-accelerate,full,"4x4,rhs=1",3,15,0.015250,0.001667,ok
small,solve,primal,f64,system-accelerate,full,"4x4,rhs=4",3,15,0.015083,0.000291,ok
small,grad_sum_matmul,backward,f64,system-accelerate,full,4x4,3,15,0.089292,0.000792,ok
small,grad_sum_svd_s,backward,f64,system-accelerate,full,4x4,3,15,0.082834,0.007917,ok
small,grad_sum_solve,backward,f64,system-accelerate,full,"4x4,rhs=1",3,15,0.128625,0.004459,ok
small,matmul,primal,f64,system-accelerate,full,8x8,3,15,0.012542,0.000833,ok
small,einsum_ij_jk_ik,primal,f64,system-accelerate,full,8x8,3,15,0.013375,0.000208,ok
small,svd,primal,f64,system-accelerate,full,8x8,3,15,0.018542,0.000209,ok
small,qr,primal,f64,system-accelerate,full,8x8,3,15,0.011375,0.000250,ok
small,eigh,primal,f64,system-accelerate,full,8x8,3,15,0.013792,0.000375,ok
small,solve,primal,f64,system-accelerate,full,"8x8,rhs=1",3,15,0.016083,0.000541,ok
small,solve,primal,f64,system-accelerate,full,"8x8,rhs=4",3,15,0.015792,0.000292,ok
small,grad_sum_matmul,backward,f64,system-accelerate,full,8x8,3,15,0.091791,0.001500,ok
small,grad_sum_svd_s,backward,f64,system-accelerate,full,8x8,3,15,0.091541,0.008000,ok
small,grad_sum_solve,backward,f64,system-accelerate,full,"8x8,rhs=1",3,15,0.129875,0.001625,ok
small,matmul,primal,f64,system-accelerate,full,16x16,3,15,0.013542,0.000292,ok
small,einsum_ij_jk_ik,primal,f64,system-accelerate,full,16x16,3,15,0.014667,0.000459,ok
small,svd,primal,f64,system-accelerate,full,16x16,3,15,0.038250,0.000875,ok
small,qr,primal,f64,system-accelerate,full,16x16,3,15,0.013292,0.000166,ok
small,eigh,primal,f64,system-accelerate,full,16x16,3,15,0.024416,0.000459,ok
small,solve,primal,f64,system-accelerate,full,"16x16,rhs=1",3,15,0.017833,0.000125,ok
small,solve,primal,f64,system-accelerate,full,"16x16,rhs=4",3,15,0.017875,0.000166,ok
small,grad_sum_matmul,backward,f64,system-accelerate,full,16x16,3,15,0.093500,0.004542,ok
small,grad_sum_svd_s,backward,f64,system-accelerate,full,16x16,3,15,0.132750,0.003042,ok
small,grad_sum_solve,backward,f64,system-accelerate,full,"16x16,rhs=1",3,15,0.128000,0.008457,ok
small,matmul,primal,f64,system-accelerate,full,32x32,3,15,0.016750,0.000334,ok
small,einsum_ij_jk_ik,primal,f64,system-accelerate,full,32x32,3,15,0.015709,0.002458,ok
