suite,benchmark,dtype,threads,shape,backend,median_ms,iqr_ms,status,notes
cpu/elementwise_reduction,add,f64,4,33554432,tenferro-eager,4.631208,0.554666,ok,binary elementwise
cpu/elementwise_reduction,add,f64,4,33554432,tenferro-trace,2.782750,0.146084,ok,binary elementwise
cpu/elementwise_reduction,sub,f64,4,33554432,tenferro-eager,2.591250,0.125709,ok,binary elementwise
cpu/elementwise_reduction,sub,f64,4,33554432,tenferro-trace,2.752916,0.148084,ok,binary elementwise
cpu/elementwise_reduction,mul,f64,4,33554432,tenferro-eager,2.814542,0.137084,ok,binary elementwise
cpu/elementwise_reduction,mul,f64,4,33554432,tenferro-trace,2.892041,0.110708,ok,binary elementwise
cpu/elementwise_reduction,div,f64,4,33554432,tenferro-eager,2.635834,0.154125,ok,binary elementwise
cpu/elementwise_reduction,div,f64,4,33554432,tenferro-trace,2.771209,0.155417,ok,binary elementwise
cpu/elementwise_reduction,neg,f64,4,33554432,tenferro-eager,1.659084,0.126875,ok,unary elementwise
cpu/elementwise_reduction,neg,f64,4,33554432,tenferro-trace,1.678917,0.089958,ok,unary elementwise
cpu/elementwise_reduction,abs,f64,4,33554432,tenferro-eager,1.639709,0.091791,ok,unary elementwise
cpu/elementwise_reduction,abs,f64,4,33554432,tenferro-trace,1.678916,0.083625,ok,unary elementwise
cpu/elementwise_reduction,sign,f64,4,33554432,tenferro-eager,3.248250,0.098250,ok,unary elementwise
cpu/elementwise_reduction,sign,f64,4,33554432,tenferro-trace,3.202750,0.139250,ok,unary elementwise
cpu/elementwise_reduction,maximum,f64,4,33554432,tenferro-eager,2.591583,0.287167,ok,binary elementwise
cpu/elementwise_reduction,maximum,f64,4,33554432,tenferro-trace,2.693042,0.170125,ok,binary elementwise
cpu/elementwise_reduction,minimum,f64,4,33554432,tenferro-eager,2.678208,0.114916,ok,binary elementwise
cpu/elementwise_reduction,minimum,f64,4,33554432,tenferro-trace,2.679958,0.126125,ok,binary elementwise
cpu/elementwise_reduction,compare_lt,f64,4,33554432,tenferro-eager,2.174875,0.119541,ok,ordered compare
cpu/elementwise_reduction,compare_lt,f64,4,33554432,tenferro-trace,2.203125,0.094208,ok,ordered compare
cpu/elementwise_reduction,select,f64,4,33554432,tenferro-eager,3.504667,0.112459,ok,ternary select
cpu/elementwise_reduction,select,f64,4,33554432,tenferro-trace,3.473542,0.100292,ok,ternary select
cpu/elementwise_reduction,sqrt,f64,4,33554432,tenferro-eager,2.023167,0.034792,ok,analytic unary
cpu/elementwise_reduction,sqrt,f64,4,33554432,tenferro-trace,2.046792,0.042250,ok,analytic unary
cpu/elementwise_reduction,rsqrt,f64,4,33554432,tenferro-eager,3.070125,0.032916,ok,analytic unary
cpu/elementwise_reduction,rsqrt,f64,4,33554432,tenferro-trace,3.178875,0.177792,ok,analytic unary
cpu/elementwise_reduction,rem,f64,4,8388608,tenferro-eager,4.452583,0.474792,ok,binary elementwise
cpu/elementwise_reduction,rem,f64,4,8388608,tenferro-trace,4.172000,0.220207,ok,binary elementwise
cpu/elementwise_reduction,clamp,f64,4,8388608,tenferro-eager,1.565667,0.061291,ok,clamp with tensor bounds
cpu/elementwise_reduction,clamp,f64,4,8388608,tenferro-trace,1.618584,0.142500,ok,clamp with tensor bounds
cpu/elementwise_reduction,exp,f64,4,8388608,tenferro-eager,4.093041,0.132083,ok,analytic unary
cpu/elementwise_reduction,exp,f64,4,8388608,tenferro-trace,4.200875,0.270167,ok,analytic unary
cpu/elementwise_reduction,log,f64,4,8388608,tenferro-eager,4.224542,0.212334,ok,analytic unary
cpu/elementwise_reduction,log,f64,4,8388608,tenferro-trace,4.279042,0.125125,ok,analytic unary
cpu/elementwise_reduction,sin,f64,4,8388608,tenferro-eager,4.269125,0.166500,ok,analytic unary
cpu/elementwise_reduction,sin,f64,4,8388608,tenferro-trace,4.192667,0.070167,ok,analytic unary
cpu/elementwise_reduction,cos,f64,4,8388608,tenferro-eager,4.309417,0.074583,ok,analytic unary
cpu/elementwise_reduction,cos,f64,4,8388608,tenferro-trace,4.336958,0.120917,ok,analytic unary
cpu/elementwise_reduction,tanh,f64,4,8388608,tenferro-eager,5.708042,0.175250,ok,analytic unary
cpu/elementwise_reduction,tanh,f64,4,8388608,tenferro-trace,5.618334,0.185375,ok,analytic unary
cpu/elementwise_reduction,pow,f64,4,4194304,tenferro-eager,5.267500,0.803834,ok,binary analytic
cpu/elementwise_reduction,pow,f64,4,4194304,tenferro-trace,5.027583,0.189208,ok,binary analytic
cpu/elementwise_reduction,expm1,f64,4,4194304,tenferro-eager,2.174833,0.052875,ok,analytic unary
cpu/elementwise_reduction,expm1,f64,4,4194304,tenferro-trace,2.261917,0.095125,ok,analytic unary
cpu/elementwise_reduction,log1p,f64,4,4194304,tenferro-eager,2.848583,0.096126,ok,analytic unary
cpu/elementwise_reduction,log1p,f64,4,4194304,tenferro-trace,2.809125,0.137250,ok,analytic unary
cpu/elementwise_reduction,chain_log1p_exp_mul,f64,4,4194304,tenferro-eager,4.932875,0.172959,ok,short elementwise chain
cpu/elementwise_reduction,chain_log1p_exp_mul,f64,4,4194304,tenferro-trace,5.050209,0.245626,ok,short elementwise chain
cpu/elementwise_reduction,reduce_sum_all,f64,4,8192x4096,tenferro-eager,4.609917,0.392375,ok,full reduction
cpu/elementwise_reduction,reduce_sum_all,f64,4,8192x4096,tenferro-trace,4.577375,0.112500,ok,full reduction
cpu/elementwise_reduction,reduce_prod_all,f64,4,8192x4096,tenferro-eager,6.077458,0.061667,ok,full reduction
cpu/elementwise_reduction,reduce_prod_all,f64,4,8192x4096,tenferro-trace,6.105084,0.093042,ok,full reduction
cpu/elementwise_reduction,reduce_max_axis0,f64,4,2048x2048,tenferro-eager,5.869917,0.076458,ok,axis reduction
cpu/elementwise_reduction,reduce_max_axis0,f64,4,2048x2048,tenferro-trace,5.812333,0.075167,ok,axis reduction
cpu/elementwise_reduction,reduce_min_axis1,f64,4,4096x4096,tenferro-eager,3.242750,0.066125,ok,axis reduction
cpu/elementwise_reduction,reduce_min_axis1,f64,4,4096x4096,tenferro-trace,3.213750,0.120959,ok,axis reduction
cpu/indexing_layout,gather,f64,4,262144,tenferro-eager,0.132458,0.005292,ok,1D StableHLO-style gather
