suite,benchmark,dtype,threads,shape,backend,median_ms,iqr_ms,status
small,matmul,f64,1,2x2,tenferro-eager,0.006458,0.002082,ok
small,einsum_ij_jk_ik,f64,1,2x2,tenferro-eager,0.005875,0.000124,ok
small,svd,f64,1,2x2,tenferro-eager,0.012542,0.003833,ok
small,qr,f64,1,2x2,tenferro-eager,0.010000,0.000584,ok
small,eigh,f64,1,2x2,tenferro-eager,0.005625,0.000125,ok
small,solve,f64,1,"2x2,rhs=1",tenferro-eager,0.008375,0.001750,ok
small,solve,f64,1,"2x2,rhs=4",tenferro-eager,0.012333,0.000209,ok
small,grad_sum_matmul_backward,f64,1,2x2,tenferro-eager,0.132458,0.026209,ok
small,grad_sum_svd_s_backward,f64,1,2x2,tenferro-eager,0.109459,0.006000,ok
small,grad_sum_solve_backward,f64,1,"2x2,rhs=1",tenferro-eager,0.158916,0.026249,ok
small,matmul,f64,1,4x4,tenferro-eager,0.005542,0.000250,ok
small,einsum_ij_jk_ik,f64,1,4x4,tenferro-eager,0.005750,0.000124,ok
small,svd,f64,1,4x4,tenferro-eager,0.011500,0.000417,ok
small,qr,f64,1,4x4,tenferro-eager,0.008000,0.000375,ok
small,eigh,f64,1,4x4,tenferro-eager,0.008500,0.000208,ok
small,solve,f64,1,"4x4,rhs=1",tenferro-eager,0.011250,0.000625,ok
small,solve,f64,1,"4x4,rhs=4",tenferro-eager,0.011125,0.000625,ok
small,grad_sum_matmul_backward,f64,1,4x4,tenferro-eager,0.111583,0.003458,ok
small,grad_sum_svd_s_backward,f64,1,4x4,tenferro-eager,0.087834,0.010708,ok
small,grad_sum_solve_backward,f64,1,"4x4,rhs=1",tenferro-eager,0.143375,0.009667,ok
small,matmul,f64,1,8x8,tenferro-eager,0.004792,0.000084,ok
small,einsum_ij_jk_ik,f64,1,8x8,tenferro-eager,0.005042,0.000334,ok
small,svd,f64,1,8x8,tenferro-eager,0.015000,0.000375,ok
small,qr,f64,1,8x8,tenferro-eager,0.006375,0.000541,ok
small,eigh,f64,1,8x8,tenferro-eager,0.008375,0.000167,ok
small,solve,f64,1,"8x8,rhs=1",tenferro-eager,0.008625,0.000958,ok
small,solve,f64,1,"8x8,rhs=4",tenferro-eager,0.010209,0.000125,ok
small,grad_sum_matmul_backward,f64,1,8x8,tenferro-eager,0.106083,0.015375,ok
small,grad_sum_svd_s_backward,f64,1,8x8,tenferro-eager,0.094125,0.006000,ok
small,grad_sum_solve_backward,f64,1,"8x8,rhs=1",tenferro-eager,0.128208,0.002833,ok
small,matmul,f64,1,16x16,tenferro-eager,0.007042,0.001375,ok
small,einsum_ij_jk_ik,f64,1,16x16,tenferro-eager,0.006583,0.000209,ok
small,svd,f64,1,16x16,tenferro-eager,0.034416,0.001167,ok
small,qr,f64,1,16x16,tenferro-eager,0.008666,0.000249,ok
small,eigh,f64,1,16x16,tenferro-eager,0.019583,0.002334,ok
small,solve,f64,1,"16x16,rhs=1",tenferro-eager,0.010292,0.000250,ok
small,solve,f64,1,"16x16,rhs=4",tenferro-eager,0.010333,0.000083,ok
small,grad_sum_matmul_backward,f64,1,16x16,tenferro-eager,0.095541,0.002334,ok
small,grad_sum_svd_s_backward,f64,1,16x16,tenferro-eager,0.127083,0.002750,ok
small,grad_sum_solve_backward,f64,1,"16x16,rhs=1",tenferro-eager,0.123666,0.003292,ok
small,matmul,f64,1,32x32,tenferro-eager,0.007500,0.001167,ok
small,einsum_ij_jk_ik,f64,1,32x32,tenferro-eager,0.007334,0.001374,ok
small,svd,f64,1,32x32,tenferro-eager,0.089250,0.000793,ok
small,qr,f64,1,32x32,tenferro-eager,0.014083,0.000292,ok
small,eigh,f64,1,32x32,tenferro-eager,0.053208,0.013167,ok
small,solve,f64,1,"32x32,rhs=1",tenferro-eager,0.015292,0.000250,ok
small,solve,f64,1,"32x32,rhs=4",tenferro-eager,0.015084,0.001083,ok
small,grad_sum_matmul_backward,f64,1,32x32,tenferro-eager,0.094542,0.004208,ok
small,grad_sum_svd_s_backward,f64,1,32x32,tenferro-eager,0.228750,0.010707,ok
small,grad_sum_solve_backward,f64,1,"32x32,rhs=1",tenferro-eager,0.146084,0.018750,ok
large,matmul,f64,1,128x128,tenferro-eager,0.025000,0.001124,ok
large,matmul,f64,1,256x256,tenferro-eager,0.116125,0.002417,ok
large,matmul,f64,1,512x512,tenferro-eager,0.743666,0.060374,ok
large,matmul,f64,1,1024x1024,tenferro-eager,6.031959,0.691542,ok
large,matmul_rect,f64,1,1024x256 * 256x1024,tenferro-eager,1.346250,0.094291,ok
large,matmul_rect,f64,1,256x1024 * 1024x256,tenferro-eager,0.382166,0.016958,ok
large,svd,f64,1,64x64,tenferro-eager,0.280834,0.006333,ok
large,qr,f64,1,64x64,tenferro-eager,0.072209,0.002876,ok
large,eigh,f64,1,64x64,tenferro-eager,0.202375,0.018708,ok
large,solve,f64,1,"64x64,rhs=1",tenferro-eager,0.024625,0.000291,ok
large,solve,f64,1,"64x64,rhs=16",tenferro-eager,0.028959,0.001125,ok
large,solve,f64,1,"64x64,rhs=64",tenferro-eager,0.038417,0.001541,ok
