suite,op,phase,dtype,backend,profile,shape,warmups,runs,median_ms,iqr_ms,status
small,matmul,primal,f64,system-accelerate,full,2x2,3,15,0.073166,0.014084,ok
small,einsum_ij_jk_ik,primal,f64,system-accelerate,full,2x2,3,15,0.062625,0.007292,ok
small,svd,primal,f64,system-accelerate,full,2x2,3,15,0.044500,0.009042,ok
small,qr,primal,f64,system-accelerate,full,2x2,3,15,0.046375,0.005542,ok
small,eigh,primal,f64,system-accelerate,full,2x2,3,15,0.027333,0.016251,ok
small,solve,primal,f64,system-accelerate,full,"2x2,rhs=1",3,15,0.058833,0.008000,ok
small,solve,primal,f64,system-accelerate,full,"2x2,rhs=4",3,15,0.045417,0.014375,ok
small,grad_sum_matmul,backward,f64,system-accelerate,full,2x2,3,15,0.308084,0.034417,ok
small,grad_sum_svd_s,backward,f64,system-accelerate,full,2x2,3,15,0.252625,0.024250,ok
small,grad_sum_solve,backward,f64,system-accelerate,full,"2x2,rhs=1",3,15,0.405291,0.104334,ok
small,matmul,primal,f64,system-accelerate,full,4x4,3,15,0.035875,0.004292,ok
small,einsum_ij_jk_ik,primal,f64,system-accelerate,full,4x4,3,15,0.036625,0.002667,ok
small,svd,primal,f64,system-accelerate,full,4x4,3,15,0.035792,0.002249,ok
small,qr,primal,f64,system-accelerate,full,4x4,3,15,0.030792,0.007167,ok
small,eigh,primal,f64,system-accelerate,full,4x4,3,15,0.032167,0.006792,ok
small,solve,primal,f64,system-accelerate,full,"4x4,rhs=1",3,15,0.042500,0.007042,ok
small,solve,primal,f64,system-accelerate,full,"4x4,rhs=4",3,15,0.040875,0.003208,ok
small,grad_sum_matmul,backward,f64,system-accelerate,full,4x4,3,15,0.223708,0.018959,ok
small,grad_sum_svd_s,backward,f64,system-accelerate,full,4x4,3,15,0.199291,0.024375,ok
small,grad_sum_solve,backward,f64,system-accelerate,full,"4x4,rhs=1",3,15,0.330750,0.018626,ok
small,matmul,primal,f64,system-accelerate,full,8x8,3,15,0.034042,0.005042,ok
small,einsum_ij_jk_ik,primal,f64,system-accelerate,full,8x8,3,15,0.038791,0.008583,ok
small,svd,primal,f64,system-accelerate,full,8x8,3,15,0.035834,0.006333,ok
small,qr,primal,f64,system-accelerate,full,8x8,3,15,0.026833,0.005375,ok
small,eigh,primal,f64,system-accelerate,full,8x8,3,15,0.030375,0.003416,ok
small,solve,primal,f64,system-accelerate,full,"8x8,rhs=1",3,15,0.036583,0.004333,ok
small,solve,primal,f64,system-accelerate,full,"8x8,rhs=4",3,15,0.036917,0.003376,ok
small,grad_sum_matmul,backward,f64,system-accelerate,full,8x8,3,15,0.225125,0.008542,ok
small,grad_sum_svd_s,backward,f64,system-accelerate,full,8x8,3,15,0.195333,0.017583,ok
small,grad_sum_solve,backward,f64,system-accelerate,full,"8x8,rhs=1",3,15,0.314083,0.019292,ok
small,matmul,primal,f64,system-accelerate,full,16x16,3,15,0.030583,0.003875,ok
small,einsum_ij_jk_ik,primal,f64,system-accelerate,full,16x16,3,15,0.032917,0.001626,ok
small,svd,primal,f64,system-accelerate,full,16x16,3,15,0.044709,0.001707,ok
small,qr,primal,f64,system-accelerate,full,16x16,3,15,0.025292,0.005041,ok
small,eigh,primal,f64,system-accelerate,full,16x16,3,15,0.033750,0.004376,ok
