suite,benchmark,dtype,threads,shape,backend,median_ms,iqr_ms,status,notes
cpu/fft,fft,c32,1,1d_n1024,tenferro-fft-immediate,,,skipped,API includes per-call planning or session entry; use shared cached executor for short operation timing
cpu/fft,fft,c32,1,1d_n1024,tenferro-fft-read,,,skipped,API includes per-call planning or session entry; use shared cached executor for short operation timing
cpu/fft,fft,c32,1,1d_n1024,tenferro-fft-executor-cached,0.004759,0.001737,ok,"FftExecutor reused across warmups and measured runs; operations_per_sample=128; median_batch_ms=0.609167"
cpu/fft,fft,c32,1,1d_n1024,tenferro-fft-eager,,,skipped,API includes per-call planning or session entry; use shared cached executor for short operation timing
cpu/fft,fft,c32,1,1d_n1024,tenferro-fft-trace,,,skipped,API includes per-call planning or session entry; use shared cached executor for short operation timing
cpu/fft,fft,c64,1,1d_n1024,tenferro-fft-immediate,,,skipped,API includes per-call planning or session entry; use shared cached executor for short operation timing
cpu/fft,fft,c64,1,1d_n1024,tenferro-fft-read,,,skipped,API includes per-call planning or session entry; use shared cached executor for short operation timing
cpu/fft,fft,c64,1,1d_n1024,tenferro-fft-executor-cached,0.005978,0.001177,ok,"FftExecutor reused across warmups and measured runs; operations_per_sample=128; median_batch_ms=0.765125"
cpu/fft,fft,c64,1,1d_n1024,tenferro-fft-eager,,,skipped,API includes per-call planning or session entry; use shared cached executor for short operation timing
cpu/fft,fft,c64,1,1d_n1024,tenferro-fft-trace,,,skipped,API includes per-call planning or session entry; use shared cached executor for short operation timing
cpu/fft,ifft,c32,1,1d_n1024,tenferro-fft-immediate,,,skipped,API includes per-call planning or session entry; use shared cached executor for short operation timing
cpu/fft,ifft,c32,1,1d_n1024,tenferro-fft-read,,,skipped,API includes per-call planning or session entry; use shared cached executor for short operation timing
cpu/fft,ifft,c32,1,1d_n1024,tenferro-fft-executor-cached,0.004116,0.000311,ok,"FftExecutor reused across warmups and measured runs; operations_per_sample=128; median_batch_ms=0.526875"
cpu/fft,ifft,c32,1,1d_n1024,tenferro-fft-eager,,,skipped,API includes per-call planning or session entry; use shared cached executor for short operation timing
cpu/fft,ifft,c32,1,1d_n1024,tenferro-fft-trace,,,skipped,API includes per-call planning or session entry; use shared cached executor for short operation timing
cpu/fft,ifft,c64,1,1d_n1024,tenferro-fft-immediate,,,skipped,API includes per-call planning or session entry; use shared cached executor for short operation timing
cpu/fft,ifft,c64,1,1d_n1024,tenferro-fft-read,,,skipped,API includes per-call planning or session entry; use shared cached executor for short operation timing
cpu/fft,ifft,c64,1,1d_n1024,tenferro-fft-executor-cached,0.005047,0.000222,ok,"FftExecutor reused across warmups and measured runs; operations_per_sample=128; median_batch_ms=0.646042"
cpu/fft,ifft,c64,1,1d_n1024,tenferro-fft-eager,,,skipped,API includes per-call planning or session entry; use shared cached executor for short operation timing
cpu/fft,ifft,c64,1,1d_n1024,tenferro-fft-trace,,,skipped,API includes per-call planning or session entry; use shared cached executor for short operation timing
cpu/fft,rfft,f32,1,1d_n1024,tenferro-fft-immediate,,,skipped,API includes per-call planning or session entry; use shared cached executor for short operation timing
cpu/fft,rfft,f32,1,1d_n1024,tenferro-fft-read,,,skipped,API includes per-call planning or session entry; use shared cached executor for short operation timing
cpu/fft,rfft,f32,1,1d_n1024,tenferro-fft-executor-cached,0.003245,0.000120,ok,"FftExecutor reused across warmups and measured runs; operations_per_sample=128; median_batch_ms=0.415417"
cpu/fft,rfft,f32,1,1d_n1024,tenferro-fft-eager,,,skipped,API includes per-call planning or session entry; use shared cached executor for short operation timing
cpu/fft,rfft,f32,1,1d_n1024,tenferro-fft-trace,,,skipped,API includes per-call planning or session entry; use shared cached executor for short operation timing
cpu/fft,rfft,f64,1,1d_n1024,tenferro-fft-immediate,,,skipped,API includes per-call planning or session entry; use shared cached executor for short operation timing
cpu/fft,rfft,f64,1,1d_n1024,tenferro-fft-read,,,skipped,API includes per-call planning or session entry; use shared cached executor for short operation timing
cpu/fft,rfft,f64,1,1d_n1024,tenferro-fft-executor-cached,0.004373,0.000369,ok,"FftExecutor reused across warmups and measured runs; operations_per_sample=128; median_batch_ms=0.559792"
cpu/fft,rfft,f64,1,1d_n1024,tenferro-fft-eager,,,skipped,API includes per-call planning or session entry; use shared cached executor for short operation timing
cpu/fft,rfft,f64,1,1d_n1024,tenferro-fft-trace,,,skipped,API includes per-call planning or session entry; use shared cached executor for short operation timing
cpu/fft,irfft,c32,1,1d_n1024,tenferro-fft-immediate,,,skipped,API includes per-call planning or session entry; use shared cached executor for short operation timing
cpu/fft,irfft,c32,1,1d_n1024,tenferro-fft-read,,,skipped,API includes per-call planning or session entry; use shared cached executor for short operation timing
cpu/fft,irfft,c32,1,1d_n1024,tenferro-fft-executor-cached,0.003288,0.000157,ok,"FftExecutor reused across warmups and measured runs; operations_per_sample=128; median_batch_ms=0.420833"
cpu/fft,irfft,c32,1,1d_n1024,tenferro-fft-eager,,,skipped,API includes per-call planning or session entry; use shared cached executor for short operation timing
cpu/fft,irfft,c32,1,1d_n1024,tenferro-fft-trace,,,skipped,API includes per-call planning or session entry; use shared cached executor for short operation timing
cpu/fft,irfft,c64,1,1d_n1024,tenferro-fft-immediate,,,skipped,API includes per-call planning or session entry; use shared cached executor for short operation timing
cpu/fft,irfft,c64,1,1d_n1024,tenferro-fft-read,,,skipped,API includes per-call planning or session entry; use shared cached executor for short operation timing
cpu/fft,irfft,c64,1,1d_n1024,tenferro-fft-executor-cached,0.004294,0.000248,ok,"FftExecutor reused across warmups and measured runs; operations_per_sample=128; median_batch_ms=0.549583"
cpu/fft,irfft,c64,1,1d_n1024,tenferro-fft-eager,,,skipped,API includes per-call planning or session entry; use shared cached executor for short operation timing
cpu/fft,irfft,c64,1,1d_n1024,tenferro-fft-trace,,,skipped,API includes per-call planning or session entry; use shared cached executor for short operation timing
cpu/fft,fft,c32,1,1d_n16384,tenferro-fft-immediate,,,skipped,API includes per-call planning or session entry; use shared cached executor for short operation timing
cpu/fft,fft,c32,1,1d_n16384,tenferro-fft-read,,,skipped,API includes per-call planning or session entry; use shared cached executor for short operation timing
cpu/fft,fft,c32,1,1d_n16384,tenferro-fft-executor-cached,0.040501,0.001230,ok,"FftExecutor reused across warmups and measured runs; operations_per_sample=128; median_batch_ms=5.184083"
cpu/fft,fft,c32,1,1d_n16384,tenferro-fft-eager,,,skipped,API includes per-call planning or session entry; use shared cached executor for short operation timing
cpu/fft,fft,c32,1,1d_n16384,tenferro-fft-trace,,,skipped,API includes per-call planning or session entry; use shared cached executor for short operation timing
cpu/fft,fft,c64,1,1d_n16384,tenferro-fft-immediate,,,skipped,API includes per-call planning or session entry; use shared cached executor for short operation timing
cpu/fft,fft,c64,1,1d_n16384,tenferro-fft-read,,,skipped,API includes per-call planning or session entry; use shared cached executor for short operation timing
cpu/fft,fft,c64,1,1d_n16384,tenferro-fft-executor-cached,0.070851,0.000465,ok,"FftExecutor reused across warmups and measured runs; operations_per_sample=128; median_batch_ms=9.068959"
cpu/fft,fft,c64,1,1d_n16384,tenferro-fft-eager,,,skipped,API includes per-call planning or session entry; use shared cached executor for short operation timing
cpu/fft,fft,c64,1,1d_n16384,tenferro-fft-trace,,,skipped,API includes per-call planning or session entry; use shared cached executor for short operation timing
cpu/fft,ifft,c32,1,1d_n16384,tenferro-fft-immediate,,,skipped,API includes per-call planning or session entry; use shared cached executor for short operation timing
cpu/fft,ifft,c32,1,1d_n16384,tenferro-fft-read,,,skipped,API includes per-call planning or session entry; use shared cached executor for short operation timing
cpu/fft,ifft,c32,1,1d_n16384,tenferro-fft-executor-cached,0.042208,0.001001,ok,"FftExecutor reused across warmups and measured runs; operations_per_sample=128; median_batch_ms=5.402625"
cpu/fft,ifft,c32,1,1d_n16384,tenferro-fft-eager,,,skipped,API includes per-call planning or session entry; use shared cached executor for short operation timing
cpu/fft,ifft,c32,1,1d_n16384,tenferro-fft-trace,,,skipped,API includes per-call planning or session entry; use shared cached executor for short operation timing
cpu/fft,ifft,c64,1,1d_n16384,tenferro-fft-immediate,,,skipped,API includes per-call planning or session entry; use shared cached executor for short operation timing
cpu/fft,ifft,c64,1,1d_n16384,tenferro-fft-read,,,skipped,API includes per-call planning or session entry; use shared cached executor for short operation timing
cpu/fft,ifft,c64,1,1d_n16384,tenferro-fft-executor-cached,0.073991,0.000157,ok,"FftExecutor reused across warmups and measured runs; operations_per_sample=128; median_batch_ms=9.470792"
cpu/fft,ifft,c64,1,1d_n16384,tenferro-fft-eager,,,skipped,API includes per-call planning or session entry; use shared cached executor for short operation timing
cpu/fft,ifft,c64,1,1d_n16384,tenferro-fft-trace,,,skipped,API includes per-call planning or session entry; use shared cached executor for short operation timing
cpu/fft,rfft,f32,1,1d_n16384,tenferro-fft-immediate,,,skipped,API includes per-call planning or session entry; use shared cached executor for short operation timing
cpu/fft,rfft,f32,1,1d_n16384,tenferro-fft-read,,,skipped,API includes per-call planning or session entry; use shared cached executor for short operation timing
cpu/fft,rfft,f32,1,1d_n16384,tenferro-fft-executor-cached,0.038823,0.000739,ok,"FftExecutor reused across warmups and measured runs; operations_per_sample=128; median_batch_ms=4.969375"
cpu/fft,rfft,f32,1,1d_n16384,tenferro-fft-eager,,,skipped,API includes per-call planning or session entry; use shared cached executor for short operation timing
cpu/fft,rfft,f32,1,1d_n16384,tenferro-fft-trace,,,skipped,API includes per-call planning or session entry; use shared cached executor for short operation timing
cpu/fft,rfft,f64,1,1d_n16384,tenferro-fft-immediate,,,skipped,API includes per-call planning or session entry; use shared cached executor for short operation timing
cpu/fft,rfft,f64,1,1d_n16384,tenferro-fft-read,,,skipped,API includes per-call planning or session entry; use shared cached executor for short operation timing
cpu/fft,rfft,f64,1,1d_n16384,tenferro-fft-executor-cached,0.068793,0.000697,ok,"FftExecutor reused across warmups and measured runs; operations_per_sample=128; median_batch_ms=8.805500"
