suite,benchmark,dtype,threads,shape,backend,median_ms,iqr_ms,status,notes
cpu/elementwise_reduction,add,f64,1,"33554432",tenferro-direct,6.480875,0.105916,ok,"binary elementwise"
cpu/elementwise_reduction,add,f64,1,"33554432",tenferro-trace,6.632792,0.124917,ok,"binary elementwise"
cpu/elementwise_reduction,sub,f64,1,"33554432",tenferro-direct,6.453125,0.069167,ok,"binary elementwise"
cpu/elementwise_reduction,sub,f64,1,"33554432",tenferro-trace,6.573292,0.128291,ok,"binary elementwise"
cpu/elementwise_reduction,mul,f64,1,"33554432",tenferro-direct,6.715417,0.066542,ok,"binary elementwise"
cpu/elementwise_reduction,mul,f64,1,"33554432",tenferro-trace,6.824417,0.182625,ok,"binary elementwise"
cpu/elementwise_reduction,div,f64,1,"33554432",tenferro-direct,6.479167,0.178083,ok,"binary elementwise"
cpu/elementwise_reduction,div,f64,1,"33554432",tenferro-trace,6.520416,0.217542,ok,"binary elementwise"
cpu/elementwise_reduction,neg,f64,1,"33554432",tenferro-direct,4.389084,0.140791,ok,"unary elementwise"
cpu/elementwise_reduction,neg,f64,1,"33554432",tenferro-trace,4.398833,0.083417,ok,"unary elementwise"
cpu/elementwise_reduction,abs,f64,1,"33554432",tenferro-direct,4.490833,0.072874,ok,"unary elementwise"
cpu/elementwise_reduction,abs,f64,1,"33554432",tenferro-trace,4.415791,0.135083,ok,"unary elementwise"
cpu/elementwise_reduction,sign,f64,1,"33554432",tenferro-direct,5.119584,0.019375,ok,"unary elementwise"
cpu/elementwise_reduction,sign,f64,1,"33554432",tenferro-trace,5.149583,0.069709,ok,"unary elementwise"
cpu/elementwise_reduction,maximum,f64,1,"33554432",tenferro-direct,6.583333,0.053917,ok,"binary elementwise"
cpu/elementwise_reduction,maximum,f64,1,"33554432",tenferro-trace,6.646458,0.056917,ok,"binary elementwise"
cpu/elementwise_reduction,minimum,f64,1,"33554432",tenferro-direct,6.613042,0.043917,ok,"binary elementwise"
cpu/elementwise_reduction,minimum,f64,1,"33554432",tenferro-trace,6.675750,0.055251,ok,"binary elementwise"
cpu/elementwise_reduction,compare_lt,f64,1,"33554432",tenferro-direct,5.287750,0.170417,ok,"ordered compare"
cpu/elementwise_reduction,compare_lt,f64,1,"33554432",tenferro-trace,5.287209,0.078208,ok,"ordered compare"
cpu/elementwise_reduction,select,f64,1,"33554432",tenferro-direct,7.938125,0.027126,ok,"ternary select"
cpu/elementwise_reduction,select,f64,1,"33554432",tenferro-trace,7.951334,0.050249,ok,"ternary select"
cpu/elementwise_reduction,sqrt,f64,1,"33554432",tenferro-direct,7.486666,0.127666,ok,"analytic unary"
cpu/elementwise_reduction,sqrt,f64,1,"33554432",tenferro-trace,7.543208,0.181458,ok,"analytic unary"
cpu/elementwise_reduction,rsqrt,f64,1,"33554432",tenferro-direct,11.522792,0.366167,ok,"analytic unary"
cpu/elementwise_reduction,rsqrt,f64,1,"33554432",tenferro-trace,11.586500,0.485666,ok,"analytic unary"
cpu/elementwise_reduction,rem,f64,1,"8388608",tenferro-direct,15.973583,0.409125,ok,"binary elementwise"
