suite,op,phase,dtype,backend,profile,shape,warmups,runs,median_ms,iqr_ms,status
batched,batched_matmul_ikb_kjb_ijb,primal,f64,filtered,full,2x2xbatch16 (native batch layout),3,60,,,filtered
batched,batched_svd,primal,f64,filtered,full,2x2xbatch16 (native batch layout),3,60,,,filtered
batched,batched_qr,primal,f64,filtered,full,2x2xbatch16 (native batch layout),3,60,,,filtered
batched,batched_eigh,primal,f64,filtered,full,2x2xbatch16 (native batch layout),3,60,,,filtered
batched,batched_solve,primal,f64,system-accelerate,full,"2x2xbatch16 (native batch layout),rhs=1",3,60,0.025208,0.000917,ok
batched,grad_sum_batched_matmul,backward,f64,filtered,full,2x2xbatch16 (native batch layout),3,60,,,filtered
batched,grad_sum_batched_solve,backward,f64,system-accelerate,full,"2x2xbatch16 (native batch layout),rhs=1",3,60,0.180334,0.009541,ok
batched,batched_matmul_ikb_kjb_ijb,primal,f64,filtered,full,4x4xbatch16 (native batch layout),3,60,,,filtered
batched,batched_svd,primal,f64,filtered,full,4x4xbatch16 (native batch layout),3,60,,,filtered
batched,batched_qr,primal,f64,filtered,full,4x4xbatch16 (native batch layout),3,60,,,filtered
batched,batched_eigh,primal,f64,filtered,full,4x4xbatch16 (native batch layout),3,60,,,filtered
batched,batched_solve,primal,f64,system-accelerate,full,"4x4xbatch16 (native batch layout),rhs=1",3,60,0.025458,0.002124,ok
batched,grad_sum_batched_matmul,backward,f64,filtered,full,4x4xbatch16 (native batch layout),3,60,,,filtered
batched,grad_sum_batched_solve,backward,f64,system-accelerate,full,"4x4xbatch16 (native batch layout),rhs=1",3,60,0.177166,0.010542,ok
batched,batched_matmul_ikb_kjb_ijb,primal,f64,filtered,full,8x8xbatch16 (native batch layout),3,60,,,filtered
batched,batched_svd,primal,f64,filtered,full,8x8xbatch16 (native batch layout),3,60,,,filtered
batched,batched_qr,primal,f64,filtered,full,8x8xbatch16 (native batch layout),3,60,,,filtered
batched,batched_eigh,primal,f64,filtered,full,8x8xbatch16 (native batch layout),3,60,,,filtered
batched,batched_solve,primal,f64,system-accelerate,full,"8x8xbatch16 (native batch layout),rhs=1",3,60,0.027958,0.000709,ok
batched,grad_sum_batched_matmul,backward,f64,filtered,full,8x8xbatch16 (native batch layout),3,60,,,filtered
batched,grad_sum_batched_solve,backward,f64,system-accelerate,full,"8x8xbatch16 (native batch layout),rhs=1",3,60,0.186417,0.003292,ok
batched,batched_matmul_ikb_kjb_ijb,primal,f64,filtered,full,16x16xbatch16 (native batch layout),3,60,,,filtered
batched,batched_svd,primal,f64,filtered,full,16x16xbatch16 (native batch layout),3,60,,,filtered
batched,batched_qr,primal,f64,filtered,full,16x16xbatch16 (native batch layout),3,60,,,filtered
batched,batched_eigh,primal,f64,filtered,full,16x16xbatch16 (native batch layout),3,60,,,filtered
batched,batched_solve,primal,f64,system-accelerate,full,"16x16xbatch16 (native batch layout),rhs=1",3,60,0.040209,0.001083,ok
batched,grad_sum_batched_matmul,backward,f64,filtered,full,16x16xbatch16 (native batch layout),3,60,,,filtered
batched,grad_sum_batched_solve,backward,f64,system-accelerate,full,"16x16xbatch16 (native batch layout),rhs=1",3,60,0.241584,0.013542,ok
batched,batched_matmul_ikb_kjb_ijb,primal,f64,filtered,full,2x2xbatch64 (native batch layout),3,60,,,filtered
batched,batched_svd,primal,f64,filtered,full,2x2xbatch64 (native batch layout),3,60,,,filtered
batched,batched_qr,primal,f64,filtered,full,2x2xbatch64 (native batch layout),3,60,,,filtered
batched,batched_eigh,primal,f64,filtered,full,2x2xbatch64 (native batch layout),3,60,,,filtered
batched,batched_solve,primal,f64,system-accelerate,full,"2x2xbatch64 (native batch layout),rhs=1",3,60,0.069042,0.002083,ok
batched,grad_sum_batched_matmul,backward,f64,filtered,full,2x2xbatch64 (native batch layout),3,60,,,filtered
batched,grad_sum_batched_solve,backward,f64,system-accelerate,full,"2x2xbatch64 (native batch layout),rhs=1",3,60,0.347166,0.011792,ok
batched,batched_matmul_ikb_kjb_ijb,primal,f64,filtered,full,4x4xbatch64 (native batch layout),3,60,,,filtered
batched,batched_svd,primal,f64,filtered,full,4x4xbatch64 (native batch layout),3,60,,,filtered
batched,batched_qr,primal,f64,filtered,full,4x4xbatch64 (native batch layout),3,60,,,filtered
batched,batched_eigh,primal,f64,filtered,full,4x4xbatch64 (native batch layout),3,60,,,filtered
batched,batched_solve,primal,f64,system-accelerate,full,"4x4xbatch64 (native batch layout),rhs=1",3,60,0.072625,0.005834,ok
batched,grad_sum_batched_matmul,backward,f64,filtered,full,4x4xbatch64 (native batch layout),3,60,,,filtered
batched,grad_sum_batched_solve,backward,f64,system-accelerate,full,"4x4xbatch64 (native batch layout),rhs=1",3,60,0.370792,0.005375,ok
batched,batched_matmul_ikb_kjb_ijb,primal,f64,filtered,full,8x8xbatch64 (native batch layout),3,60,,,filtered
batched,batched_svd,primal,f64,filtered,full,8x8xbatch64 (native batch layout),3,60,,,filtered
batched,batched_qr,primal,f64,filtered,full,8x8xbatch64 (native batch layout),3,60,,,filtered
batched,batched_eigh,primal,f64,filtered,full,8x8xbatch64 (native batch layout),3,60,,,filtered
batched,batched_solve,primal,f64,system-accelerate,full,"8x8xbatch64 (native batch layout),rhs=1",3,60,0.088417,0.006250,ok
batched,grad_sum_batched_matmul,backward,f64,filtered,full,8x8xbatch64 (native batch layout),3,60,,,filtered
batched,grad_sum_batched_solve,backward,f64,system-accelerate,full,"8x8xbatch64 (native batch layout),rhs=1",3,60,0.433417,0.018750,ok
batched,batched_matmul_ikb_kjb_ijb,primal,f64,filtered,full,16x16xbatch64 (native batch layout),3,60,,,filtered
batched,batched_svd,primal,f64,filtered,full,16x16xbatch64 (native batch layout),3,60,,,filtered
batched,batched_qr,primal,f64,filtered,full,16x16xbatch64 (native batch layout),3,60,,,filtered
batched,batched_eigh,primal,f64,filtered,full,16x16xbatch64 (native batch layout),3,60,,,filtered
