suite,op,phase,dtype,backend,profile,shape,warmups,runs,median_ms,iqr_ms,status
small,matmul,primal,f64,filtered,quick,2x2,10,20000,,,filtered
small,einsum_ij_jk_ik,primal,f64,filtered,quick,2x2,10,20000,,,filtered
small,svd,primal,f64,filtered,quick,2x2,10,20000,,,filtered
small,qr,primal,f64,filtered,quick,2x2,10,20000,,,filtered
small,eigh,primal,f64,filtered,quick,2x2,10,20000,,,filtered
small,solve,primal,f64,filtered,quick,"2x2,rhs=1",10,20000,,,filtered
small,solve,primal,f64,filtered,quick,"2x2,rhs=4",10,20000,,,filtered
small,grad_sum_matmul,backward,f64,filtered,quick,2x2,10,20000,,,filtered
small,grad_sum_svd_s,backward,f64,filtered,quick,2x2,10,20000,,,filtered
small,grad_sum_solve,backward,f64,filtered,quick,"2x2,rhs=1",10,20000,,,filtered
small,grad_sum_svd_s,jvp,f64,filtered,quick,2x2,10,20000,,,filtered
small,grad_sum_svd_s,vjp,f64,filtered,quick,2x2,10,20000,,,filtered
small,grad_sum_qr,jvp,f64,filtered,quick,2x2,10,20000,,,filtered
small,grad_sum_qr,vjp,f64,tenferro-trace,quick,2x2,10,20000,0.177292,0.016916,ok
small,grad_sum_eigh,jvp,f64,filtered,quick,2x2,10,20000,,,filtered
small,grad_sum_eigh,vjp,f64,filtered,quick,2x2,10,20000,,,filtered
small,grad_sum_lu,jvp,f64,filtered,quick,2x2,10,20000,,,filtered
small,grad_sum_lu,vjp,f64,filtered,quick,2x2,10,20000,,,filtered
small,grad_sum_solve,jvp,f64,filtered,quick,"2x2,rhs=1",10,20000,,,filtered
small,grad_sum_solve,vjp,f64,filtered,quick,"2x2,rhs=1",10,20000,,,filtered
small,matmul,primal,f64,filtered,quick,4x4,10,20000,,,filtered
small,einsum_ij_jk_ik,primal,f64,filtered,quick,4x4,10,20000,,,filtered
small,svd,primal,f64,filtered,quick,4x4,10,20000,,,filtered
small,qr,primal,f64,filtered,quick,4x4,10,20000,,,filtered
small,eigh,primal,f64,filtered,quick,4x4,10,20000,,,filtered
small,solve,primal,f64,filtered,quick,"4x4,rhs=1",10,20000,,,filtered
small,solve,primal,f64,filtered,quick,"4x4,rhs=4",10,20000,,,filtered
small,grad_sum_matmul,backward,f64,filtered,quick,4x4,10,20000,,,filtered
small,grad_sum_svd_s,backward,f64,filtered,quick,4x4,10,20000,,,filtered
small,grad_sum_solve,backward,f64,filtered,quick,"4x4,rhs=1",10,20000,,,filtered
small,grad_sum_svd_s,jvp,f64,filtered,quick,4x4,10,20000,,,filtered
small,grad_sum_svd_s,vjp,f64,filtered,quick,4x4,10,20000,,,filtered
small,grad_sum_qr,jvp,f64,filtered,quick,4x4,10,20000,,,filtered
small,grad_sum_qr,vjp,f64,tenferro-trace,quick,4x4,10,20000,0.172542,0.008668,ok
small,grad_sum_eigh,jvp,f64,filtered,quick,4x4,10,20000,,,filtered
small,grad_sum_eigh,vjp,f64,filtered,quick,4x4,10,20000,,,filtered
small,grad_sum_lu,jvp,f64,filtered,quick,4x4,10,20000,,,filtered
small,grad_sum_lu,vjp,f64,filtered,quick,4x4,10,20000,,,filtered
small,grad_sum_solve,jvp,f64,filtered,quick,"4x4,rhs=1",10,20000,,,filtered
small,grad_sum_solve,vjp,f64,filtered,quick,"4x4,rhs=1",10,20000,,,filtered
small,matmul,primal,f64,filtered,quick,8x8,10,20000,,,filtered
small,einsum_ij_jk_ik,primal,f64,filtered,quick,8x8,10,20000,,,filtered
small,svd,primal,f64,filtered,quick,8x8,10,20000,,,filtered
small,qr,primal,f64,filtered,quick,8x8,10,20000,,,filtered
small,eigh,primal,f64,filtered,quick,8x8,10,20000,,,filtered
small,solve,primal,f64,filtered,quick,"8x8,rhs=1",10,20000,,,filtered
small,solve,primal,f64,filtered,quick,"8x8,rhs=4",10,20000,,,filtered
small,grad_sum_matmul,backward,f64,filtered,quick,8x8,10,20000,,,filtered
small,grad_sum_svd_s,backward,f64,filtered,quick,8x8,10,20000,,,filtered
small,grad_sum_solve,backward,f64,filtered,quick,"8x8,rhs=1",10,20000,,,filtered
small,grad_sum_svd_s,jvp,f64,filtered,quick,8x8,10,20000,,,filtered
small,grad_sum_svd_s,vjp,f64,filtered,quick,8x8,10,20000,,,filtered
small,grad_sum_qr,jvp,f64,filtered,quick,8x8,10,20000,,,filtered
small,grad_sum_qr,vjp,f64,tenferro-trace,quick,8x8,10,20000,0.178292,0.006084,ok
small,grad_sum_eigh,jvp,f64,filtered,quick,8x8,10,20000,,,filtered
small,grad_sum_eigh,vjp,f64,filtered,quick,8x8,10,20000,,,filtered
small,grad_sum_lu,jvp,f64,filtered,quick,8x8,10,20000,,,filtered
small,grad_sum_lu,vjp,f64,filtered,quick,8x8,10,20000,,,filtered
small,grad_sum_solve,jvp,f64,filtered,quick,"8x8,rhs=1",10,20000,,,filtered
small,grad_sum_solve,vjp,f64,filtered,quick,"8x8,rhs=1",10,20000,,,filtered
